PLAYER,TEAM,GP,MIN/G,RAM,C-RAM,PSP,3PE,FGS,BMS,DSI,FG%,PTS/G,REB/G,AST/G,STL/G,BLK/G
Char Yeiy,UPlay (16U),4,17,506,6.3,58,56,32,58,67,64.3%,6.8,3.0,0.3,0.3,1.0
Myles Herro,Phenom University (16U),4,27,504,6.2,44,75,77,56,73,37.5%,6.5,3.8,4.8,0.5,0.3
Arness Lawson,All Ohio (16U),4,18,504,6.2,55,49,62,56,83,55.0%,7.5,2.8,2.3,1.3,0.3
Leroy Blyden,The Family (16U),4,14,504,6.2,64,81,63,25,72,56.5%,8.0,0.3,2.0,0.8,0.0
Jaysean Williams,Expressions (16U),3,9,504,6.2,62,92,63,54,56,58.3%,6.0,1.7,2.3,0.3,0.0
Trajan Thompson,Team United (16U),5,20,503,6.2,57,56,48,63,85,45.2%,9.8,4.4,0.8,0.8,0.0
Jaydon Terrell,Team United (16U),5,23,500,6.2,52,78,70,49,64,45.8%,6.8,2.0,3.2,0.6,0.0
Elijah Lovemore,Mac Irvin Fire (16U),5,16,499,6.2,47,78,68,60,67,50.0%,4.6,3.0,3.2,0.6,0.0
Quincy Wadley,Team Takeover (16U),4,24,499,6.2,63,73,61,54,61,36.2%,14.0,3.8,2.3,0.5,0.0
Arafan Diane,UPlay (16U),4,15,496,6.1,49,0,42,72,63,69.2%,4.5,4.5,0.5,0.0,0.3
Kamren Robinson,Boo Williams (16U),5,26,495,6.1,53,59,76,49,89,43.2%,9.2,2.6,4.6,2.2,0.0
Chazz Dubois,New York Renaissance (16U),5,20,490,6.1,53,0,29,61,56,68.8%,5.8,3.4,0.2,0.2,0.0
Elijah Griffin,Phenom University (16U),4,15,489,6.1,59,90,64,44,63,47.6%,7.5,1.8,2.5,0.8,0.0
Tristan Beckford,UPlay (16U),4,16,487,6.0,59,65,45,48,68,55.6%,7.5,2.0,0.5,0.5,0.0
Danny Carbuccia,PSA Cardinals (16U),5,27,485,6.0,50,65,75,52,88,33.9%,10.2,3.6,4.4,1.8,0.2
Abu Keita,Howard Pulley/Team Tyus (16U),4,15,483,6.0,57,45,39,58,63,64.3%,6.3,3.0,0.5,0.5,0.0
Zacch Wiggins,Team CP3 (16U),5,21,481,6.0,51,50,48,54,67,60.0%,6.0,2.6,1.0,0.4,0.4
Isaiah Denis,The Skill Factory (16U),4,20,479,6.0,57,89,63,43,73,40.0%,9.5,1.8,2.3,1.0,0.0
Jamier Jones,Florida Rebels (16U),5,21,478,5.9,62,0,54,53,30,54.3%,10.4,3.2,1.6,0.0,0.0
Liam Dagostino,City Rocks (16U),4,5,477,5.9,62,82,37,43,72,66.7%,4.0,0.5,0.3,0.3,0.3
Donovan Williams,Florida Rebels (16U),4,15,476,5.9,52,67,69,46,92,46.2%,7.0,2.0,2.3,1.5,0.3
Max Kraay,Howard Pulley/Team Tyus (16U),4,10,473,5.9,47,66,43,36,57,66.7%,3.0,0.8,0.5,0.3,0.0
Milan Dean,Team Final (16U),4,27,473,5.9,60,56,58,47,68,43.2%,11.8,2.5,2.0,1.0,0.3
Juan Guerrero Hernandez,Meanstreets (16U),4,29,467,5.8,49,44,51,62,77,40.0%,8.8,5.3,1.3,0.5,0.3
Jacoby Hill,Alabama Fusion (16U),5,23,466,5.8,59,76,66,49,70,36.8%,12.4,2.4,2.8,0.8,0.0
Quadri Bashiru,PSA Cardinals (16U),5,17,465,5.8,45,63,12,60,67,70.0%,3.6,2.8,0.0,0.4,0.2
Kaden Bedard,Maine United (16U),4,25,462,5.7,41,60,65,67,65,42.1%,5.3,6.0,2.8,0.5,0.3
Kaden Magwood,Team United (16U),5,19,458,5.7,58,86,54,54,65,41.5%,9.8,3.0,1.6,0.8,0.0
Leroy Kelly,Drive Nation (16U),5,20,456,5.7,53,64,50,55,61,48.1%,7.4,3.0,1.2,0.2,0.4
Jackson McVey,Georgia Stars (16U),4,20,456,5.7,51,49,38,72,76,46.4%,8.0,6.5,0.5,0.0,0.5
Chandler Bing,The Skill Factory (16U),4,18,456,5.7,51,0,45,69,65,57.9%,6.3,4.8,0.8,0.3,0.0
Nicholas Randall,Brad Beal Elite (16U),4,19,453,5.7,55,41,11,68,70,53.8%,7.8,5.8,0.0,0.3,1.0
Adarius Boston,Boo Williams (16U),5,21,453,5.7,59,75,42,49,54,43.5%,10.0,2.2,0.6,0.2,0.0
Jaevian Alston,Boo Williams (16U),5,20,451,5.6,48,48,63,50,77,36.7%,8.8,3.6,1.6,0.6,0.6
Brayden Rivers,Georgia Stars (16U),4,20,451,5.6,56,73,48,48,73,41.9%,9.3,1.8,1.0,0.8,0.0
Ezequias Walker,Brad Beal Elite (16U),4,24,445,5.6,47,55,55,54,59,50.0%,6.0,3.3,1.8,0.5,0.3
Clayton Parker,Brad Beal Elite (16U),4,11,444,5.5,56,0,53,53,67,60.0%,6.5,2.0,1.3,0.5,0.0
Kash Polk,Houston Hoops (16U),5,28,444,5.5,49,45,43,74,71,39.5%,8.8,10.2,0.8,0.4,1.2
Jamal Chretien,Houston Hoops (16U),5,25,443,5.5,61,79,46,46,44,37.9%,12.8,2.2,1.0,0.2,0.0
Tyler Wagner,Howard Pulley/Team Tyus (16U),4,22,443,5.5,57,87,31,48,28,37.9%,9.3,2.3,0.3,0.0,0.0
Jermaine ONeal,Drive Nation (16U),5,20,442,5.5,54,55,38,53,59,46.7%,8.4,2.8,0.4,0.2,0.0
Xavier McLean,UPlay (16U),4,17,441,5.5,52,51,37,63,65,52.4%,6.8,4.8,0.5,0.5,0.5
DeErick Barber,All Ohio (16U),4,23,439,5.5,42,74,69,52,51,46.7%,4.8,2.5,3.3,0.3,0.0
Jeremiah Green,Proskills (16U),5,26,437,5.5,57,60,61,36,70,33.3%,14.2,1.8,2.0,0.8,0.0
Robert Simpson,Alabama Fusion (16U),5,15,437,5.5,49,56,39,62,61,55.0%,5.4,3.0,0.4,0.0,0.2
Charles Lindsey,Alabama Fusion (16U),5,11,435,5.4,53,62,40,46,71,55.6%,5.6,1.6,0.4,0.6,0.0
Caleb Thomas,The Skill Factory (16U),4,19,434,5.4,51,57,48,35,81,43.3%,8.0,1.0,1.0,0.8,0.3
William Scott,Team Durant (16U),4,3,433,5.4,39,0,0,33,0,100.0%,0.8,0.5,0.0,0.0,0.0
Geon Hutchins,The Family (16U),4,19,432,5.4,53,68,56,50,39,41.4%,8.8,2.3,1.5,0.0,0.0
Devin Toatley,Team Melo (16U),4,27,432,5.4,56,81,52,50,65,37.2%,11.0,2.8,1.5,0.8,0.0
Zion Collins,Team CP3 (16U),5,19,432,5.4,58,73,48,55,62,43.9%,10.0,3.4,1.2,0.8,0.0
Dorian Jones,All Ohio (16U),4,22,432,5.4,53,69,41,59,84,32.7%,11.3,4.8,0.5,0.8,0.3
Austin Sperry,Team Thad (16U),4,16,430,5.4,56,63,58,47,71,40.7%,10.0,2.5,2.0,0.8,0.3
Thomas Ahneman,Howard Pulley/Team Tyus (16U),4,15,430,5.4,47,49,50,64,62,53.3%,5.3,3.5,1.0,0.0,0.3
Sam Hughes,Expressions (16U),5,25,429,5.4,52,81,52,47,47,40.5%,8.2,2.0,1.4,0.2,0.0
Justin Burrough,Boo Williams (16U),5,23,429,5.4,41,69,54,55,74,41.7%,5.0,3.4,1.2,0.6,0.4
Adam Walker,Meanstreets (16U),4,10,429,5.4,48,0,38,59,57,70.0%,3.8,2.8,0.5,0.0,0.5
Jacob Wilkins,The Skill Factory (16U),4,23,425,5.3,46,41,40,57,92,32.4%,9.5,5.0,0.5,1.0,1.0
Omari Moore,PSA Cardinals (16U),5,15,424,5.3,51,67,39,38,58,47.1%,6.2,1.0,0.4,0.2,0.4
Jacob Ross,Team Melo (16U),4,27,423,5.3,45,0,48,56,90,41.4%,7.8,3.3,1.0,1.3,0.5
Jake West,Team Final (16U),4,27,422,5.3,49,54,69,45,74,37.5%,9.0,2.0,3.3,1.0,0.0
Sharod Barnes,The Family (16U),4,17,422,5.3,51,0,69,43,77,47.6%,7.8,2.0,3.3,1.3,0.0
Aiden Disu,Proskills (16U),5,21,420,5.3,45,60,43,60,55,50.0%,5.2,3.8,0.8,0.2,0.4
Julius Edmonds,Indy Heat (16U),4,18,420,5.3,47,0,49,55,42,56.3%,5.5,3.0,1.0,0.0,0.0
Evan Sterck,Georgia Stars (16U),4,22,419,5.3,51,84,57,40,77,36.4%,8.5,1.3,1.8,1.3,0.0
Devin Isaj,Phenom University (16U),4,10,418,5.3,50,46,41,56,62,60.0%,4.8,2.3,0.5,0.3,0.0
Derek Bishop,Meanstreets (16U),4,13,412,5.2,52,77,46,44,55,43.5%,6.8,1.5,0.8,0.3,0.0
Bryce Dawson,Alabama Fusion (16U),3,8,410,5.2,44,84,0,38,0,50.0%,3.0,1.0,0.0,0.0,0.0
Benny Fragela,Nightrydas Elite (16U),5,27,410,5.2,48,79,56,39,24,35.1%,7.4,1.4,1.6,0.0,0.0
Zyree Collins,Brad Beal Elite (16U),4,28,408,5.1,42,48,85,45,62,34.6%,7.8,2.8,6.5,0.8,0.0
Abijah Franklin,The Skill Factory (16U),4,9,407,5.1,59,51,40,49,78,50.0%,8.0,1.5,0.5,0.8,0.0
Connor Sprattley,NH Lightning (16U),4,18,405,5.1,48,45,59,45,73,45.8%,7.0,2.0,1.8,0.8,0.0
Keith McKnight,PSA Cardinals (16U),5,17,403,5.1,48,68,41,53,76,39.4%,7.4,2.6,0.4,0.4,0.2
Austin Williford,Team Takeover (16U),5,21,398,5.0,36,54,67,53,69,39.1%,4.4,3.6,2.8,0.8,0.0
Charlie OSullivan,City Rocks (16U),4,12,397,5.0,50,75,40,43,47,42.9%,6.0,1.3,0.5,0.0,0.3
Micah Waters,Team Final (16U),4,11,397,5.0,32,57,39,25,0,50.0%,1.8,0.3,0.5,0.0,0.0
Cameron Hutson,The Family (16U),4,21,396,5.0,44,49,58,52,79,38.5%,7.0,3.5,1.8,1.3,0.3
Mike Williams,Houston Hoops (16U),5,23,393,5.0,40,60,66,46,77,37.0%,6.0,3.2,3.0,1.4,0.0
Markell Alston,NJ Scholars (16U),4,24,391,5.0,43,72,69,43,76,33.3%,6.8,2.0,3.3,1.3,0.0
Chadlyn Traylor,Georgia Stars (16U),4,25,391,4.9,44,54,62,50,57,34.6%,7.8,3.0,2.3,0.3,0.0
Jason Scott,Proskills (16U),4,9,389,4.9,46,43,64,42,70,54.5%,4.3,1.3,1.0,0.5,0.0
Ace Flagg,Maine United (16U),4,22,387,4.9,49,0,58,47,79,37.8%,9.8,2.5,2.0,1.5,0.5
Jaden Nickens,Drive Nation (16U),5,19,387,4.9,47,69,55,54,64,37.5%,7.4,3.0,1.6,0.6,0.0
Jamarion Fleming,Team Thad (16U),4,22,383,4.9,37,0,13,71,91,42.9%,5.0,6.3,0.0,0.5,2.8
John Lash,Team CP3 (16U),4,16,383,4.9,42,0,38,60,82,47.4%,5.3,4.3,0.5,1.0,0.0
Joshua Pettigrew,Meanstreets (16U),4,19,382,4.8,40,55,33,63,66,50.0%,4.5,4.5,0.3,0.3,0.3
Jaylin Williams-Crawford,Expressions (16U),5,17,378,4.8,34,38,52,52,76,46.7%,3.4,2.8,1.2,0.6,0.2
Jaleel Donley,Howard Pulley/Team Tyus (16U),4,27,378,4.8,43,61,70,41,68,30.0%,8.8,2.5,3.5,0.8,0.3
Gabriel DAlessandro,Boo Williams (16U),5,6,378,4.8,52,74,39,33,0,50.0%,4.8,0.8,0.4,0.0,0.0
Brandon Lee,New York Renaissance (16U),5,16,376,4.8,51,57,31,46,64,41.0%,8.2,2.2,0.2,0.4,0.0
Devin Sims,Boo Williams (16U),5,7,373,4.7,40,0,0,33,24,71.4%,2.2,0.4,0.0,0.0,0.0
